,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,8.0,0.5,0.39,2.2,0.073,30.0,39.0,0.99572,3.33,0.77,12.1,6
1,9.3,0.3,0.73,2.3,0.092,30.0,67.0,0.99854,3.32,0.67,12.8,6
2,7.1,0.51,0.03,2.1,0.059,3.0,12.0,0.9966,3.52,0.73,11.3,7
3,8.1,0.87,0.22,2.6,0.084,11.0,65.0,0.9973,3.2,0.53,9.8,5
4,8.5,0.36,0.3,2.3,0.079,10.0,45.0,0.99444,3.2,1.36,9.5,6
5,9.9,0.51,0.44,2.2,0.111,30.0,134.0,0.9982,3.11,0.54,9.6,5
6,7.2,0.87,0.0,2.3,0.08,6.0,18.0,0.99552,3.34,0.6,11.3,6
7,7.5,0.43,0.32,1.8,0.066,18.0,40.0,0.9956,3.3,0.43,9.7,6
8,11.6,0.38,0.55,2.2,0.084,17.0,40.0,1.0008,3.17,0.73,9.8,6
9,7.8,0.78,0.09,2.2,0.049,13.0,29.0,0.99682,3.51,0.49,9.5,5
10,9.0,0.715,0.24,2.6,0.086,17.0,110.0,0.9976,3.31,0.53,9.4,5
11,10.4,0.24,0.42,2.4,0.059,6.0,15.0,0.9972,3.08,0.86,10.8,7
12,10.5,0.59,0.24,2.7,0.076,13.0,30.0,0.9981,3.04,0.49,10.0,6
13,6.7,0.52,0.28,1.8,0.088,23.0,91.0,0.9948,3.38,0.48,9.3,4
14,6.4,0.66,0.03,2.2,0.078,31.0,54.0,0.99736,3.56,0.57,11.0,6
15,7.4,0.59,0.24,2.8,0.076,31.0,134.0,0.9978,3.21,0.51,9.4,5
16,11.5,0.27,0.6,2.3,0.089,11.0,25.0,0.99628,3.1,0.44,12.0,7
17,7.6,0.56,0.28,2.4,0.077,16.0,86.0,0.9969,3.22,0.64,9.8,6
18,10.2,0.24,0.34,2.6,0.067,13.0,27.0,0.99683,3.22,0.58,10.0,6
19,5.6,0.39,0.16,3.0,0.095,12.0,49.0,0.9981,3.61,0.89,13.1,8
20,9.1,0.39,0.31,1.8,0.0969999999999999,25.0,72.0,0.999,3.16,0.44,9.1,5
21,9.7,0.55,0.24,2.4,0.078,25.0,42.0,0.9976,3.12,0.59,9.6,5
22,8.0,0.69,0.0,3.0,0.093,5.0,28.0,0.99888,3.3,0.54,9.5,5
23,5.9,0.22,0.01,1.8,0.0409999999999999,16.0,29.0,0.99258,3.38,0.71,11.0,6
24,7.9,0.7,0.0,1.9,0.104,15.0,34.0,0.9966,3.31,0.67,9.7,5
25,8.2,0.31,0.32,2.0,0.066,10.0,22.0,0.9947,3.27,0.77,11.2,7
26,7.3,0.7,0.0,2.2,0.0579999999999999,16.0,42.0,0.99472,3.38,0.6,11.8,6
27,10.3,0.28,0.57,2.4,0.054,7.0,24.0,0.9986,3.17,0.47,11.0,4
28,8.9,0.56,0.18,1.9,0.074,12.0,46.0,0.9969,3.17,0.92,9.5,6
29,10.8,0.5,0.55,2.2,0.077,15.0,33.0,0.9988,3.18,0.6,9.4,6
30,8.0,0.84,0.07,2.5,0.086,11.0,18.0,0.99476,3.37,0.54,10.0,7
31,6.1,0.69,0.24,2.3,0.078,5.0,19.0,0.9952,3.54,0.74,9.7,6
32,8.9,0.45,0.39,1.5,0.05,3.0,12.0,0.99808,3.32,0.72,11.0,5
33,7.8,0.41,0.29,2.1,0.104,6.0,16.0,0.9967,3.26,0.73,11.8,7
34,9.2,0.54,0.26,2.3,0.0819999999999999,23.0,122.0,0.998,3.12,0.64,9.2,5
35,7.0,0.62,0.06,1.9,0.076,27.0,63.0,0.9975,3.34,0.74,9.6,6
36,7.1,0.36,0.3,1.8,0.081,24.0,52.0,0.9978,3.4,0.52,10.3,6
37,8.7,0.58,0.21,2.5,0.0969999999999999,18.0,91.0,0.99596,3.19,0.68,9.2,5
38,12.0,0.31,0.49,2.8,0.091,9.0,30.0,0.9987,3.04,0.81,10.7,6
39,8.6,0.4,0.11,1.9,0.065,3.0,9.0,0.99765,3.1,0.47,10.7,5
40,7.5,0.5,0.02,2.6,0.077,17.0,40.0,0.99587,3.37,0.93,10.1,6
41,12.0,0.42,0.49,14.0,0.086,6.0,42.0,1.0021,3.42,0.75,11.6,6
42,7.8,0.44,0.29,2.8,0.098,19.0,59.0,0.9959,3.33,0.59,9.5,3
43,8.4,0.48,0.42,2.6,0.106,5.0,19.0,0.9965,3.16,1.06,9.5,5
44,7.1,0.785,0.0,2.5,0.0969999999999999,12.0,89.0,0.99632,3.5,0.52,11.8,7
45,8.0,0.76,0.07,2.2,0.0409999999999999,22.0,81.0,0.9972,3.12,0.68,9.6,5
46,8.7,0.51,0.6,2.0,0.074,6.0,18.0,0.9973,3.27,0.76,10.1,8
47,7.4,0.32,0.41,2.4,0.086,16.0,72.0,0.99728,3.33,0.77,10.8,6
48,5.0,0.62,0.13,1.9,0.093,14.0,42.0,0.99258,3.63,0.56,10.1,6
49,7.0,0.38,0.32,1.8,0.052,27.0,53.0,0.99467,3.38,0.72,10.2,6
50,8.6,0.34,0.43,2.1,0.067,19.0,35.0,0.99516,3.29,0.66,11.8,6
51,7.3,0.42,0.29,2.5,0.081,26.0,65.0,0.99689,3.44,0.83,12.5,6
