fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.0,0.5,0.39,2.2,0.073,30.0,39.0,0.99572,3.33,0.77,12.1,3
9.3,0.3,0.73,2.3,0.092,30.0,67.0,0.99854,3.32,0.67,12.8,3
7.1,0.51,0.03,2.1,0.059,3.0,12.0,0.9966,3.52,0.73,11.3,4
8.1,0.87,0.22,2.6,0.084,11.0,65.0,0.9973,3.2,0.53,9.8,2
8.5,0.36,0.3,2.3,0.079,10.0,45.0,0.99444,3.2,1.36,9.5,3
9.9,0.51,0.44,2.2,0.111,30.0,134.0,0.9982,3.11,0.54,9.6,2
7.2,0.87,0.0,2.3,0.08,6.0,18.0,0.99552,3.34,0.6,11.3,3
7.5,0.43,0.32,1.8,0.066,18.0,40.0,0.9956,3.3,0.43,9.7,3
11.6,0.38,0.55,2.2,0.084,17.0,40.0,1.0008,3.17,0.73,9.8,3
7.8,0.78,0.09,2.2,0.049,13.0,29.0,0.99682,3.51,0.49,9.5,2
9.0,0.715,0.24,2.6,0.086,17.0,110.0,0.9976,3.31,0.53,9.4,2
10.4,0.24,0.42,2.4,0.059,6.0,15.0,0.9972,3.08,0.86,10.8,4
10.5,0.59,0.24,2.7,0.076,13.0,30.0,0.9981,3.04,0.49,10.0,3
6.7,0.52,0.28,1.8,0.088,23.0,91.0,0.9948,3.38,0.48,9.3,1
6.4,0.66,0.03,2.2,0.078,31.0,54.0,0.99736,3.56,0.57,11.0,3
7.4,0.59,0.24,2.8,0.076,31.0,134.0,0.9978,3.21,0.51,9.4,2
11.5,0.27,0.6,2.3,0.089,11.0,25.0,0.99628,3.1,0.44,12.0,4
7.6,0.56,0.28,2.4,0.077,16.0,86.0,0.9969,3.22,0.64,9.8,3
10.2,0.24,0.34,2.6,0.067,13.0,27.0,0.99683,3.22,0.58,10.0,3
5.6,0.39,0.16,3.0,0.095,12.0,49.0,0.9981,3.61,0.89,13.1,5
9.1,0.39,0.31,1.8,0.0969999999999999,25.0,72.0,0.999,3.16,0.44,9.1,2
9.7,0.55,0.24,2.4,0.078,25.0,42.0,0.9976,3.12,0.59,9.6,2
8.0,0.69,0.0,3.0,0.093,5.0,28.0,0.99888,3.3,0.54,9.5,2
